grupo_consolidacion_id,locations_count,masters_count,criterio_agrupacion,confianza,requiere_revision,taxids_unicos,dominios_unicos,orders_total,codigos_logisticos_total,distribuidores_max
CORP_0164,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,30,3,3
CORP_0165,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0166,4,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,0,0,0
CORP_0167,3,1,DOMINIO_CORPORATIVO,MEDIA,True,2,1,54,7,4
CORP_0168,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0169,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0170,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,18,4,2
CORP_0171,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,43,3,2
CORP_0172,12,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,117,12,1
CORP_0173,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0174,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0175,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0176,3,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,0,0,0
CORP_0177,4,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,2,1,1
CORP_0178,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0179,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0180,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0181,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0182,8,1,DOMINIO_CORPORATIVO,MEDIA,True,2,1,30,5,2
CORP_0183,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0184,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0185,44,1,DOMINIO_CORPORATIVO,BAJA,True,3,1,202,34,2
CORP_0186,5,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,0,0,0
CORP_0187,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0188,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0189,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0190,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0191,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0192,2,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,10,2,1
CORP_0193,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0194,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0195,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0196,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0197,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0198,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0199,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0200,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0201,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0202,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,1,1,1
CORP_0203,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0204,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0205,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,1,1,1
CORP_0206,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,1,1,1
